item_name,year,indent_level,cpi_u,cpi_w,bls_item_code,bls_series_id_cpi_u_nsa
Other processed fruits and vegetables including dried,2020,6,0.052,0.064,SEFM03,CUUR0000SEFM03
Nonalcoholic beverages and beverage materials,2020,4,0.93,1.117,SAF114,CUUR0000SAF114
Juices and nonalcoholic drinks,2020,5,0.666,0.841,SEFN,CUUR0000SEFN
Carbonated drinks,2020,6,0.278,0.362,SEFN01,CUUR0000SEFN01
Frozen noncarbonated juices and drinks,2020,6,0.006,0.008,SEFN02,CUUR0000SEFN02
Nonfrozen noncarbonated juices and drinks,2020,6,0.382,0.472,SEFN03,CUUR0000SEFN03
Beverage materials including coffee and tea,2020,5,0.264,0.276,SEFP,CUUR0000SEFP
Coffee,2020,6,0.169,0.171,SEFP01,CUUR0000SEFP01
Other beverage materials including tea,2020,6,0.095,0.105,SEFP02,CUUR0000SEFP02
Other food at home,2020,4,1.972,2.246,SAF115,CUUR0000SAF115
Sugar and sweets,2020,5,0.27,0.285,SEFR,CUUR0000SEFR
Sugar and sugar substitutes,2020,6,0.037,0.043,SEFR01,CUUR0000SEFR01
Candy and chewing gum,2020,6,0.18,0.185,SEFR02,CUUR0000SEFR02
Other sweets,2020,6,0.053,0.056,SEFR03,CUUR0000SEFR03
Fats and oils,2020,5,0.212,0.24,SEFS,CUUR0000SEFS
Butter and margarine,2020,6,0.063,0.066,SEFS01,CUUR0000SEFS01
Salad dressing,2020,6,0.051,0.062,SEFS02,CUUR0000SEFS02
Other fats and oils including peanut butter,2020,6,0.098,0.113,SEFS03,CUUR0000SEFS03
Other foods,2020,5,1.489,1.721,SEFT,CUUR0000SEFT
Soups,2020,6,0.089,0.094,SEFT01,CUUR0000SEFT01
Frozen and freeze dried prepared foods,2020,6,0.259,0.305,SEFT02,CUUR0000SEFT02
Snacks,2020,6,0.34,0.39,SEFT03,CUUR0000SEFT03
"Spices, seasonings, condiments, sauces",2020,6,0.29,0.325,SEFT04,CUUR0000SEFT04
Baby food,2020,6,0.042,0.071,,
Other miscellaneous foods,2020,6,0.469,0.536,SEFT06,CUUR0000SEFT06
Food away from home,2020,3,6.347,6.77,SEFV,CUUR0000SEFV
Full service meals and snacks,2020,4,3.176,2.927,SEFV01,CUUR0000SEFV01
Limited service meals and snacks,2020,4,2.787,3.412,SEFV02,CUUR0000SEFV02
Food at employee sites and schools,2020,4,0.13,0.152,SEFV03,CUUR0000SEFV03
Food from vending machines and mobile vendors,2020,4,0.08,0.116,SEFV04,CUUR0000SEFV04
Other food away from home,2020,4,0.174,0.162,SEFV05,CUUR0000SEFV05
Alcoholic beverages,2020,3,1.038,0.918,SAF116,CUUR0000SAF116
Alcoholic beverages at home,2020,4,0.58,0.548,SEFW,CUUR0000SEFW
"Beer, ale, and other malt beverages at home",2020,5,0.223,0.281,SEFW01,CUUR0000SEFW01
Distilled spirits at home,2020,5,0.094,0.098,SEFW02,CUUR0000SEFW02
Wine at home,2020,5,0.263,0.168,SEFW03,CUUR0000SEFW03
Alcoholic beverages away from home,2020,4,0.458,0.371,SEFX,CUUR0000SEFX
Housing,2020,1,42.385,40.874,SAH,CUUR0000SAH
Shelter,2020,2,33.316,31.506,SAH1,CUUR0000SAH1
Rent of primary residence,2020,3,7.862,10.694,SEHA,CUUR0000SEHA
Lodging away from home,2020,3,0.825,0.5,SEHB,CUUR0000SEHB
"Housing at school, excluding board",2020,4,0.118,0.05,SEHB01,CUUR0000SEHB01
Other lodging away from home including hotels and motels,2020,4,0.707,0.45,SEHB02,CUUR0000SEHB02
Owners' equivalent rent of residences,2020,3,24.263,19.988,SEHC,CUUR0000SEHC
Owners' equivalent rent of primary residence,2020,4,23.044,19.403,SEHC01,CUUR0000SEHC01
Unsampled owners' equivalent rent of secondary residences,2020,4,1.218,0.585,,
Tenants' and household insurance,2020,3,0.366,0.323,SEHD,CUUR0000SEHD
Fuels and utilities,2020,2,4.387,4.888,SAH2,CUUR0000SAH2
Household energy,2020,3,3.28,3.677,SAH21,CUUR0000SAH21
Fuel oil and other fuels,2020,4,0.145,0.109,SEHE,CUUR0000SEHE
Fuel oil,2020,5,0.084,0.064,SEHE01,CUUR0000SEHE01
"Propane, kerosene, and firewood",2020,5,0.061,0.045,SEHE02,CUUR0000SEHE02
Energy services,2020,4,3.135,3.568,SEHF,CUUR0000SEHF
Electricity,2020,5,2.425,2.811,SEHF01,CUUR0000SEHF01
Utility (piped) gas service,2020,5,0.71,0.757,SEHF02,CUUR0000SEHF02
Water and sewer and trash collection services,2020,3,1.107,1.211,SEHG,CUUR0000SEHG
Water and sewerage maintenance,2020,4,0.81,0.895,SEHG01,CUUR0000SEHG01
Garbage and trash collection,2020,4,0.297,0.316,SEHG02,CUUR0000SEHG02
Household furnishings and operations,2020,2,4.682,4.481,SAH3,CUUR0000SAH3
Window and floor coverings and other linens,2020,3,0.271,0.253,SEHH,CUUR0000SEHH
Floor coverings,2020,4,0.062,0.045,SEHH01,CUUR0000SEHH01
Window coverings,2020,4,0.058,0.04,SEHH02,CUUR0000SEHH02
Other linens,2020,4,0.151,0.168,SEHH03,CUUR0000SEHH03
Furniture and bedding,2020,3,0.944,0.911,SEHJ,CUUR0000SEHJ
Bedroom furniture,2020,4,0.329,0.336,SEHJ01,CUUR0000SEHJ01
"Living room, kitchen, and dining room furniture",2020,4,0.454,0.449,SEHJ02,CUUR0000SEHJ02
Other furniture,2020,4,0.152,0.116,SEHJ03,CUUR0000SEHJ03
Unsampled furniture,2020,4,0.009,0.011,,
Appliances,2020,3,0.22,0.264,SEHK,CUUR0000SEHK
Major appliances,2020,4,0.078,0.117,SEHK01,CUUR0000SEHK01
Other appliances,2020,4,0.14,0.143,SEHK02,CUUR0000SEHK02
Unsampled appliances,2020,4,0.003,0.004,,
Other household equipment and furnishings,2020,3,0.535,0.51,SEHL,CUUR0000SEHL
"Clocks, lamps, and decorator items",2020,4,0.313,0.299,SEHL01,CUUR0000SEHL01
Indoor plants and flowers,2020,4,0.093,0.073,SEHL02,CUUR0000SEHL02
Dishes and flatware,2020,4,0.052,0.054,SEHL03,CUUR0000SEHL03
Nonelectric cookware and tableware,2020,4,0.077,0.083,SEHL04,CUUR0000SEHL04
"Tools, hardware, outdoor equipment and supplies",2020,3,0.892,1.063,SEHM,CUUR0000SEHM
"Tools, hardware and supplies",2020,4,0.243,0.291,SEHM01,CUUR0000SEHM01
Outdoor equipment and supplies,2020,4,0.459,0.602,SEHM02,CUUR0000SEHM02
"Unsampled tools, hardware, outdoor equipment and supplies",2020,4,0.19,0.17,SEHM,CUUR0000SEHM
Housekeeping supplies,2020,3,0.922,1.025,SEHN,CUUR0000SEHN
Household cleaning products,2020,4,0.367,0.438,SEHN01,CUUR0000SEHN01
Household paper products,2020,4,0.235,0.263,SEHN02,CUUR0000SEHN02
Miscellaneous household products,2020,4,0.32,0.324,SEHN03,CUUR0000SEHN03
Household operations,2020,3,0.899,0.454,SEHP,CUUR0000SEHP
Domestic services,2020,4,0.302,0.102,SEHP01,CUUR0000SEHP01
Gardening and lawncare services,2020,4,0.31,0.141,SEHP02,CUUR0000SEHP02
"Moving, storage, freight expense",2020,4,0.091,0.065,SEHP03,CUUR0000SEHP03
Repair of household items,2020,4,0.116,0.101,SEHP04,CUUR0000SEHP04
Unsampled household operations,2020,4,0.08,0.046,SEHP,CUUR0000SEHP
Apparel,2020,1,2.663,2.996,SAA,CUUR0000SAA
Men's and boys' apparel,2020,2,0.666,0.77,SAA1,CUUR0000SAA1
Men's apparel,2020,3,0.532,0.593,SEAA,CUUR0000SEAA
"Men's suits, sport coats, and outerwear",2020,4,0.088,0.065,SEAA01,CUUR0000SEAA01
"Men's underwear, nightwear, swimwear and accessories",2020,4,0.158,0.182,,
Men's shirts and sweaters,2020,4,0.15,0.175,SEAA03,CUUR0000SEAA03
Men's pants and shorts,2020,4,0.13,0.162,SEAA04,CUUR0000SEAA04
Unsampled men's apparel,2020,4,0.005,0.008,,
Boys' apparel,2020,3,0.134,0.177,SEAB,CUUR0000SEAB
Women's and girls' apparel,2020,2,1.075,1.106,SAA2,CUUR0000SAA2
Women's apparel,2020,3,0.875,0.827,SEAC,CUUR0000SEAC
Women's outerwear,2020,4,0.062,0.062,SEAC01,CUUR0000SEAC01
Women's dresses,2020,4,0.092,0.09,SEAC02,CUUR0000SEAC02
Women's suits and separates,2020,4,0.446,0.428,SEAC03,CUUR0000SEAC03
"Women's underwear, nightwear, swimwear, and accessories",2020,4,0.265,0.236,SEAC04,CUUR0000SEAC04
Unsampled women's apparel,2020,4,0.009,0.01,,
Girls' apparel,2020,3,0.2,0.279,SEAD,CUUR0000SEAD
Footwear,2020,2,0.644,0.844,SEAE,CUUR0000SEAE
Men's footwear,2020,3,0.224,0.315,SEAE01,CUUR0000SEAE01
Boys' and girls' footwear,2020,3,0.136,0.231,SEAE02,CUUR0000SEAE02
Women's footwear,2020,3,0.284,0.298,SEAE03,CUUR0000SEAE03
Infants' and toddlers' apparel,2020,2,0.125,0.15,SEAF,CUUR0000SEAF
Jewelry and watches,2020,2,0.153,0.126,SEAG,CUUR0000SEAG
Watches,2020,3,0.04,0.04,SEAG01,CUUR0000SEAG01
Jewelry,2020,3,0.114,0.086,SEAG02,CUUR0000SEAG02
Transportation,2020,1,15.16,16.853,SAT,CUUR0000SAT
Private transportation,2020,2,14.055,16.043,SAT1,CUUR0000SAT1
New and used motor vehicles,2020,3,7.525,8.325,SETA,CUUR0000SETA
New vehicles,2020,4,3.756,3.616,SETA01,CUUR0000SETA01
Used cars and trucks,2020,4,2.75,3.917,SETA02,CUUR0000SETA02
Leased cars and trucks,2020,4,0.641,0.575,SETA03,CUUR0000SETA03
Car and truck rental,2020,4,0.134,0.112,SETA04,CUUR0000SETA04
Unsampled new and used motor vehicles,2020,4,0.244,0.105,SETA,CUUR0000SETA
Motor fuel,2020,3,2.875,3.687,SETB,CUUR0000SETB
Gasoline (all types),2020,4,2.811,3.613,SETB01,CUUR0000SETB01
Other motor fuels,2020,4,0.064,0.075,SETB02,CUUR0000SETB02
Motor vehicle parts and equipment,2020,3,0.393,0.468,SETC,CUUR0000SETC
Tires,2020,4,0.249,0.282,SETC01,CUUR0000SETC01
Vehicle accessories other than tires,2020,4,0.144,0.186,SETC02,CUUR0000SETC02
Motor vehicle maintenance and repair,2020,3,1.099,1.212,SETD,CUUR0000SETD
Motor vehicle body work,2020,4,0.059,0.051,SETD01,CUUR0000SETD01
Motor vehicle maintenance and servicing,2020,4,0.635,0.73,SETD02,CUUR0000SETD02
Motor vehicle repair,2020,4,0.345,0.356,SETD03,CUUR0000SETD03
Unsampled service policies,2020,4,0.06,0.075,,
Motor vehicle insurance,2020,3,1.598,1.798,SETE,CUUR0000SETE
Motor vehicle fees,2020,3,0.565,0.552,SETF,CUUR0000SETF
State motor vehicle registration and license fees,2020,4,0.297,0.315,SETF01,CUUR0000SETF01
Parking and other fees,2020,4,0.254,0.222,SETF03,CUUR0000SETF03
Unsampled motor vehicle fees,2020,4,0.015,0.016,SETF,CUUR0000SETF
Public transportation,2020,2,1.105,0.809,SETG,CUUR0000SETG
Airline fares,2020,3,0.633,0.421,SETG01,CUUR0000SETG01
Other intercity transportation,2020,3,0.182,0.107,SETG02,CUUR0000SETG02
Intracity transportation,2020,3,0.287,0.28,SETG03,CUUR0000SETG03
Unsampled public transportation,2020,3,0.003,0.001,SAT,CUUR0000SAT
Medical care,2020,1,8.87,7.594,SAM,CUUR0000SAM
Medical care commodities,2020,2,1.58,1.271,SAM1,CUUR0000SAM1
Medicinal drugs,2020,3,1.515,1.218,SEMF,CUUR0000SEMF
Prescription drugs,2020,4,1.141,0.891,SEMF01,CUUR0000SEMF01
Nonprescription drugs,2020,4,0.374,0.327,SEMF02,CUUR0000SEMF02
Medical equipment and supplies,2020,3,0.066,0.053,SEMG,CUUR0000SEMG
Medical care services,2020,2,7.289,6.323,SAM2,CUUR0000SAM2
Professional services,2020,3,3.662,3.09,SEMC,CUUR0000SEMC
Physicians' services,2020,4,1.817,1.51,SEMC01,CUUR0000SEMC01
Dental services,2020,4,1.005,0.909,SEMC02,CUUR0000SEMC02
Eyeglasses and eye care,2020,4,0.365,0.322,SEMC03,CUUR0000SEMC03
Services by other medical professionals,2020,4,0.474,0.349,SEMC04,CUUR0000SEMC04
Hospital and related services,2020,3,2.419,2.053,SEMD,CUUR0000SEMD
Hospital services,2020,4,2.221,1.965,SEMD01,CUUR0000SEMD01
Nursing homes and adult day services,2020,4,0.124,0.074,SEMD02,CUUR0000SEMD02
Care of invalids and elderly at home,2020,4,0.073,0.014,SEMD03,CUUR0000SEMD03
Health insurance,2020,3,1.209,1.18,SEME,CUUR0000SEME
Recreation,2020,1,5.797,5.223,SAR,CUUR0000SAR
Video and audio,2020,2,1.537,1.605,SERA,CUUR0000SERA
Televisions,2020,3,0.091,0.104,SERA01,CUUR0000SERA01
Cable and satellite television service,2020,3,1.192,1.244,,
Other video equipment,2020,3,0.042,0.047,SERA03,CUUR0000SERA03
"Video discs and other media, including rental of video",2020,3,0.076,0.085,,
Audio equipment,2020,3,0.079,0.069,SERA05,CUUR0000SERA05
Recorded music and music subscriptions,2020,3,0.045,0.042,SERA06,CUUR0000SERA06
Unsampled video and audio,2020,3,0.012,0.015,SERA,CUUR0000SERA
"Pets, pet products and services",2020,2,1.192,1.106,SERB,CUUR0000SERB
Pets and pet products,2020,3,0.632,0.665,SERB01,CUUR0000SERB01
Pet services including veterinary,2020,3,0.56,0.441,SERB02,CUUR0000SERB02
Sporting goods,2020,2,0.604,0.616,SERC,CUUR0000SERC
Sports vehicles including bicycles,2020,3,0.361,0.405,SERC01,CUUR0000SERC01
Sports equipment,2020,3,0.232,0.199,SERC02,CUUR0000SERC02
Unsampled sporting goods,2020,3,0.01,0.011,SERC,CUUR0000SERC
Photography,2020,2,0.071,0.059,SERD,CUUR0000SERD
Photographic equipment and supplies,2020,3,0.026,0.027,SERD01,CUUR0000SERD01
Photographers and photo processing,2020,3,0.044,0.032,SERD02,CUUR0000SERD02
Unsampled photography,2020,3,0.001,0.001,,
Other recreational goods,2020,2,0.356,0.387,SERE,CUUR0000SERE
Toys,2020,3,0.274,0.315,SERE01,CUUR0000SERE01
"Sewing machines, fabric and supplies",2020,3,0.02,0.012,SERE02,CUUR0000SERE02
Music instruments and accessories,2020,3,0.046,0.037,SERE03,CUUR0000SERE03
Unsampled recreation commodities,2020,3,0.016,0.023,SAC,CUUR0000SAC
Other recreation services,2020,2,1.916,1.388,SERF,CUUR0000SERF
"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees",2020,3,0.689,0.489,SERF01,CUUR0000SERF01
Admissions,2020,3,0.688,0.504,SERF02,CUUR0000SERF02
Fees for lessons or instructions,2020,3,0.218,0.138,SERF03,CUUR0000SERF03
Unsampled recreation services,2020,3,0.321,0.258,,
Recreational reading materials,2020,2,0.12,0.062,SERG,CUUR0000SERG
Newspapers and magazines,2020,3,0.068,0.029,SERG01,CUUR0000SERG01
Recreational books,2020,3,0.05,0.033,SERG02,CUUR0000SERG02
Unsampled recreational reading materials,2020,3,0.002,0.0,SERG,CUUR0000SERG
Education and communication,2020,1,6.81,6.557,SAE,CUUR0000SAE
Education,2020,2,3.033,2.173,SAE1,CUUR0000SAE1
Educational books and supplies,2020,3,0.109,0.108,SEEA,CUUR0000SEEA
"Tuition, other school fees, and childcare",2020,3,2.924,2.065,SEEB,CUUR0000SEEB
College tuition and fees,2020,4,1.569,1.018,SEEB01,CUUR0000SEEB01
Elementary and high school tuition and fees,2020,4,0.431,0.264,SEEB02,CUUR0000SEEB02
Day care and preschool,2020,4,0.768,0.657,SEEB03,CUUR0000SEEB03
Technical and business school tuition and fees,2020,4,0.037,0.039,SEEB04,CUUR0000SEEB04
"Unsampled tuition, other school fees, and childcare",2020,4,0.119,0.087,SEEB,CUUR0000SEEB
Communication,2020,2,3.777,4.384,SAE2,CUUR0000SAE2
Postage and delivery services,2020,3,0.111,0.114,SEEC,CUUR0000SEEC
Postage,2020,4,0.101,0.097,SEEC01,CUUR0000SEEC01
Delivery services,2020,4,0.01,0.017,SEEC02,CUUR0000SEEC02
Information and information processing,2020,3,3.666,4.27,SAE21,CUUR0000SAE21
Telephone services,2020,4,2.369,2.949,SEED,CUUR0000SEED
Wireless telephone services,2020,5,1.96,2.586,SEED03,CUUR0000SEED03
Land-line telephone services,2020,5,0.41,0.364,SEED04,CUUR0000SEED04
"Information technology, hardware and services",2020,3,1.297,1.321,SEEE,CUUR0000SEEE
"Computers, peripherals, and smart home assistants",2020,4,0.297,0.23,SEEE01,CUUR0000SEEE01
Computer software and accessories,2020,4,0.018,0.014,SEEE02,CUUR0000SEEE02
Internet services and electronic information providers,2020,4,0.893,1.006,SEEE03,CUUR0000SEEE03
"Telephone hardware, calculators, and other consumer information items",2020,4,0.077,0.063,SEEE04,CUUR0000SEEE04
Unsampled information and information processing,2020,4,0.012,0.007,,
Other goods and services,2020,1,3.159,3.253,SAG,CUUR0000SAG
Tobacco and smoking products,2020,2,0.608,0.987,SEGA,CUUR0000SEGA
Cigarettes,2020,3,0.529,0.872,SEGA01,CUUR0000SEGA01
Tobacco products other than cigarettes,2020,3,0.06,0.09,SEGA02,CUUR0000SEGA02
Unsampled tobacco and smoking products,2020,3,0.019,0.024,SEGA,CUUR0000SEGA
Personal care,2020,2,2.551,2.266,SAG1,CUUR0000SAG1
Personal care products,2020,3,0.678,0.732,SEGB,CUUR0000SEGB
"Hair, dental, shaving, and miscellaneous personal care products",2020,4,0.364,0.393,SEGB01,CUUR0000SEGB01
"Cosmetics, perfume, bath, nail preparations and implements",2020,4,0.306,0.324,SEGB02,CUUR0000SEGB02
Unsampled personal care products,2020,4,0.008,0.015,SEGB,CUUR0000SEGB
Personal care services,2020,3,0.694,0.649,SEGC,CUUR0000SEGC
Haircuts and other personal care services,2020,4,0.694,0.649,SEGC01,CUUR0000SEGC01
Miscellaneous personal services,2020,3,0.981,0.723,SEGD,CUUR0000SEGD
Legal services,2020,4,0.25,0.122,SEGD01,CUUR0000SEGD01
Funeral expenses,2020,4,0.14,0.086,SEGD02,CUUR0000SEGD02
Laundry and dry cleaning services,2020,4,0.22,0.233,SEGD03,CUUR0000SEGD03
Apparel services other than laundry and dry cleaning,2020,4,0.03,0.021,SEGD04,CUUR0000SEGD04
Financial services,2020,4,0.229,0.167,SEGD05,CUUR0000SEGD05
Unsampled items,2020,4,0.111,0.095,,
Miscellaneous personal goods,2020,3,0.197,0.162,SEGE,CUUR0000SEGE
Special aggregate indexes,2020,0,,,,
All items,2020,0,100.0,100.0,SA0,CUUR0000SA0
Commodities,2020,1,37.339,41.175,SAC,CUUR0000SAC
Commodities less food and beverages,2020,2,22.182,24.525,SACL11,CUUR0000SACL11
Nondurables less food and beverages,2020,3,11.241,12.527,SANL11,CUUR0000SANL11
"Nondurables less food, beverages, and apparel",2020,4,8.577,9.531,SANL113,CUUR0000SANL113
Durables,2020,3,10.942,11.998,SAD,CUUR0000SAD
Services,2020,1,62.661,58.825,SAS,CUUR0000SAS
Rent of shelter,2020,1,32.95,31.182,SAS2RS,CUUR0000SAS2RS
Transportation services,2020,1,5.142,5.059,SAS4,CUUR0000SAS4
Other services,2020,1,11.773,10.704,SAS367,CUUR0000SAS367
All items less food,2020,1,85.881,84.269,SA0L1,CUUR0000SA0L1
All items less shelter,2020,1,66.684,68.494,SA0L2,CUUR0000SA0L2
All items less medical care,2020,1,91.13,92.406,SA0L5,CUUR0000SA0L5
Commodities less food,2020,1,23.22,25.443,SACL1,CUUR0000SACL1
Nondurables less food,2020,1,12.278,13.446,SANL1,CUUR0000SANL1
Nondurables less food and apparel,2020,1,9.615,10.449,SANL13,CUUR0000SANL13
Nondurables,2020,1,26.397,29.177,SAN,CUUR0000SAN
Apparel less footwear,2020,1,2.019,2.152,SA311,CUUR0000SA311
Services less rent of shelter,2020,1,29.711,27.643,SASL2RS,CUUR0000SASL2RS
Services less medical care services,2020,1,55.372,52.502,SASL5,CUUR0000SASL5
Energy,2020,1,6.155,7.364,SA0E,CUUR0000SA0E
All items less energy,2020,1,93.845,92.636,SA0LE,CUUR0000SA0LE
All items less food and energy,2020,2,79.726,76.904,SA0L1E,CUUR0000SA0L1E
Commodities less food and energy commodities,2020,3,20.2,21.647,SACL1E,CUUR0000SACL1E
Energy commodities,2020,4,3.02,3.796,SACE,CUUR0000SACE
Services less energy services,2020,3,59.526,55.257,SASLE,CUUR0000SASLE
Domestically produced farm food,2020,1,6.489,7.427,SAN1D,CUUR0000SAN1D
Utilities and public transportation,2020,1,8.908,9.781,SAS24,CUUR0000SAS24
All items,2021,0,100.0,100.0,SA0,CUUR0000SA0
Food and beverages,2021,1,14.259,15.093,SAF,CUUR0000SAF
Food,2021,2,13.37,14.314,SAF1,CUUR0000SAF1
Food at home,2021,3,8.165,8.653,SAF11,CUUR0000SAF11
Cereals and bakery products,2021,4,1.03,1.086,SAF111,CUUR0000SAF111
Cereals and cereal products,2021,5,0.332,0.363,SEFA,CUUR0000SEFA
Flour and prepared flour mixes,2021,6,0.051,0.056,SEFA01,CUUR0000SEFA01
Breakfast cereal,2021,6,0.143,0.156,SEFA02,CUUR0000SEFA02
"Rice, pasta, cornmeal",2021,6,0.138,0.151,SEFA03,CUUR0000SEFA03
Bakery products,2021,5,0.699,0.723,SEFB,CUUR0000SEFB
Bread,2021,6,0.199,0.212,SEFB01,CUUR0000SEFB01
"Fresh biscuits, rolls, muffins",2021,6,0.106,0.102,SEFB02,CUUR0000SEFB02
"Cakes, cupcakes, and cookies",2021,6,0.171,0.187,SEFB03,CUUR0000SEFB03
Other bakery products,2021,6,0.223,0.222,SEFB04,CUUR0000SEFB04
"Meats, poultry, fish, and eggs",2021,4,1.888,2.089,SAF112,CUUR0000SAF112
"Meats, poultry, and fish",2021,5,1.779,1.969,SAF1121,CUUR0000SAF1121
Meats,2021,6,1.147,1.295,SAF11211,CUUR0000SAF11211
Beef and veal,2021,7,0.546,0.622,SEFC,CUUR0000SEFC
Uncooked ground beef,2021,8,0.194,0.216,SEFC01,CUUR0000SEFC01
Uncooked beef roasts,2021,8,0.082,0.089,SEFC02,CUUR0000SEFC02
Uncooked beef steaks,2021,8,0.216,0.244,SEFC03,CUUR0000SEFC03
Uncooked other beef and veal,2021,8,0.055,0.072,SEFC04,CUUR0000SEFC04
Pork,2021,7,0.365,0.411,SEFD,CUUR0000SEFD
"Bacon, breakfast sausage, and related products",2021,8,0.163,0.172,SEFD01,CUUR0000SEFD01
Ham,2021,8,0.062,0.069,SEFD02,CUUR0000SEFD02
Pork chops,2021,8,0.053,0.064,SEFD03,CUUR0000SEFD03
"Other pork including roasts, steaks, and ribs",2021,8,0.086,0.107,SEFD04,CUUR0000SEFD04
Other meats,2021,7,0.236,0.262,SEFE,CUUR0000SEFE
Poultry,2021,6,0.344,0.371,SEFF,CUUR0000SEFF
Chicken,2021,7,0.281,0.312,SEFF01,CUUR0000SEFF01
Other uncooked poultry including turkey,2021,7,0.062,0.058,SEFF02,CUUR0000SEFF02
Fish and seafood,2021,6,0.289,0.303,SEFG,CUUR0000SEFG
Fresh fish and seafood,2021,7,0.147,0.151,SEFG01,CUUR0000SEFG01
Processed fish and seafood,2021,7,0.142,0.152,SEFG02,CUUR0000SEFG02
Eggs,2021,5,0.109,0.12,SEFH,CUUR0000SEFH
